pref,wellbeing
7,-2.48514851485149
38,-2.84615384615385
37,-2.79259259259259
23,-2.76140350877193
13,-2.84415584415584
1,-2.77477477477478
27,-2.76729559748428
15,-2.53030303030303
35,-2.54651162790698
33,-2.64383561643836
43,-2.71951219512195
42,-2.66666666666667
12,-2.78625954198473
28,-2.81347150259067
26,-2.61363636363636
30,-2.32142857142857
40,-2.775
11,-2.94152046783626
2,-2.60869565217391
32,-2.46666666666667
20,-2.85416666666667
25,-2.53488372093023
14,-2.74074074074074
39,-2.82089552238806
34,-2.6551724137931
46,-3.08163265306122
5,-2.72881355932203
4,-2.79187817258883
31,-3.11363636363636
36,-2.58139534883721
8,-2.5
3,-2.53968253968254
45,-2.7906976744186
24,-2.77777777777778
41,-2.70967741935484
44,-2.93181818181818
6,-2.35483870967742
47,-3.08510638297872
22,-2.71929824561404
29,-2.79245283018868
16,-2.58139534883721
21,-2.76923076923077
18,-2.66666666666667
10,-2.23076923076923
9,-2.86363636363636
17,-3.02325581395349
19,-2.8695652173913
