,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
6,,0,全国,20907,16.44433,16.44433,777,2497,2588,3531,3392,2775,3004,2297,46,13719,7037,151,1260,6700,12651,1038,11613,1163,615,5070,4765,296,12505,1469,1147,1142,618,4026,0,14072,462,1347,2284,542,2188,12,1785,1116,1397,1589,1232,1522,1628,1370,1455,1128,878,917,4890,2807,3336,2925,3026,2882,2716,2467,748,3104,10143,3168,1906,790,404,1211,5890,4144,12605,4158,2020,0
7,,1,北海道,925,17.55964,17.55964,41,99,106,138,167,114,142,118,0,589,334,2,59,297,567,37,530,64,19,237,210,2,546,43,70,41,25,200,0,649,13,76,69,9,109,0,44,26,30,42,33,55,72,35,47,34,28,19,460,127,144,129,135,126,115,109,40,148,347,140,122,53,18,60,338,216,526,183,2020,0
8,,2,青森県,256,20.06611,20.06611,3,28,20,33,47,45,47,33,0,189,67,0,31,67,157,4,153,8,12,90,43,1,169,1,15,16,10,45,0,193,6,20,12,2,22,1,16,10,22,9,15,31,22,17,20,19,8,10,57,27,38,29,31,40,37,37,17,58,121,56,18,16,1,24,58,39,190,27,2020,0
9,,3,岩手県,265,21.44851,21.44851,9,16,23,54,41,41,36,45,0,190,75,0,25,79,159,9,150,9,10,94,37,2,153,8,27,26,12,39,0,177,8,26,22,1,31,0,12,12,27,21,20,15,24,32,16,13,9,6,58,34,45,42,43,21,35,36,9,53,123,74,37,8,6,26,61,30,214,21,2020,0
10,,4,宮城県,414,18.05979,18.05979,10,61,55,71,72,51,49,45,0,283,129,2,40,134,238,21,217,29,30,96,62,2,241,23,46,18,19,67,0,288,11,39,41,5,30,0,13,11,28,19,26,29,29,29,20,16,13,25,156,42,68,61,63,61,48,55,16,107,268,100,98,23,8,55,20,104,267,43,2020,0
11,,5,秋田県,190,19.2812,19.2812,4,14,14,19,23,33,46,37,0,139,51,0,8,51,130,9,121,3,3,70,45,1,135,0,9,13,4,29,0,153,1,10,2,0,23,1,3,1,4,2,3,9,8,2,4,3,4,2,145,26,28,25,28,29,18,10,26,26,77,24,6,3,4,4,70,18,101,71,2020,0
12,,6,山形県,187,17.27808,17.27808,9,21,27,26,31,27,20,26,0,138,48,1,15,58,113,15,98,3,4,52,39,1,116,1,11,13,8,38,0,128,6,13,15,0,25,0,12,7,14,17,12,18,18,14,7,16,5,14,33,22,31,24,29,21,38,19,3,33,88,34,16,10,8,15,43,48,134,5,2020,0
13,,7,福島県,365,19.39446,19.39446,12,34,46,59,52,51,60,51,0,271,93,1,34,116,212,14,198,19,12,83,84,3,216,7,36,24,13,69,0,238,15,43,24,1,44,0,31,17,32,31,29,20,28,20,33,15,19,15,75,41,56,49,56,49,53,47,14,63,134,55,40,15,8,27,119,72,212,81,2020,0
14,,8,茨城県,467,15.98529,15.98529,20,48,58,74,87,59,70,50,1,339,126,2,31,153,272,24,248,29,15,67,137,11,308,13,41,8,13,84,0,350,10,40,26,7,34,0,27,13,26,36,24,40,43,26,24,18,20,24,146,58,74,68,68,63,57,61,18,85,209,77,50,16,8,18,151,90,277,100,2020,0
15,,9,栃木県,325,16.5351,16.5351,13,38,48,52,50,37,52,35,0,189,135,1,17,94,210,16,194,27,11,59,97,4,227,10,17,20,13,38,0,224,11,17,28,8,37,0,82,22,29,21,20,20,28,26,24,12,19,17,5,54,51,49,43,48,43,36,1,54,155,69,29,6,6,19,23,79,227,19,2020,0
16,,10,群馬県,363,18.43164,18.43164,13,42,39,72,51,45,59,42,0,263,100,0,25,118,219,15,204,28,12,91,73,1,216,6,28,29,14,70,0,247,13,27,31,6,39,0,22,9,7,11,6,16,22,10,14,20,14,14,198,46,67,54,55,45,50,36,10,52,196,40,24,12,6,38,78,77,263,23,2020,0
17,,11,埼玉県,1202,16.2651,16.2651,56,133,175,209,215,156,155,103,0,816,385,1,65,404,718,66,652,75,27,296,254,15,718,111,67,91,20,195,0,742,15,71,151,51,171,1,110,55,94,106,62,97,92,97,103,79,61,67,179,159,190,153,173,188,130,141,68,90,731,153,57,43,23,52,64,232,324,646,2020,0
18,,12,千葉県,1045,16.53541,16.53541,40,115,129,179,183,158,133,108,0,693,351,1,53,329,658,51,607,65,27,343,172,5,654,94,44,37,29,187,0,693,34,54,117,45,102,0,59,67,87,87,76,89,95,77,86,60,40,58,164,137,158,159,158,141,140,124,28,175,586,167,79,27,27,63,241,201,734,110,2020,0
19,,13,東京都,2202,15.91624,15.91624,91,374,310,394,363,258,253,158,1,1211,968,23,111,772,1262,155,1107,128,53,262,664,57,1288,297,41,90,31,455,0,1332,52,87,384,105,240,2,240,116,140,158,125,134,160,135,128,116,98,116,536,297,326,305,319,318,266,271,100,195,840,237,135,82,42,70,980,406,1092,704,2020,0
20,,14,神奈川県,1317,14.30054,14.30054,47,189,160,258,241,156,167,99,0,848,465,4,72,454,772,82,690,112,52,195,331,19,877,81,42,30,20,267,0,955,33,62,115,66,86,0,91,58,59,88,48,60,81,77,64,71,52,43,525,171,184,186,169,167,160,147,133,175,491,178,135,41,28,61,541,275,871,171,2020,0
21,,15,新潟県,432,19.31985,19.31985,9,46,42,60,73,64,69,69,0,326,106,0,24,115,289,15,274,29,16,155,74,4,297,4,27,36,4,64,0,310,16,23,21,5,52,5,36,11,29,35,30,24,32,27,28,24,13,12,131,53,56,49,66,61,71,56,20,35,106,37,23,11,3,18,277,72,245,115,2020,0
22,,16,富山県,217,20.54926,20.54926,4,23,20,35,35,27,43,30,0,157,60,0,11,70,135,7,128,10,10,80,28,1,149,1,13,20,1,33,0,154,3,17,16,1,26,0,6,14,26,22,9,14,15,22,24,10,10,11,34,23,26,27,34,41,27,27,12,34,111,34,19,3,3,15,49,36,151,30,2020,0
23,,17,石川県,173,15.1806,15.1806,3,20,24,32,32,13,26,23,0,123,50,0,8,69,95,7,88,7,6,50,25,1,102,12,18,14,0,27,0,116,3,16,15,1,22,0,11,14,10,16,9,17,18,11,12,10,6,7,32,22,27,20,22,24,24,33,1,6,42,16,12,2,0,6,108,27,129,17,2020,0
24,,18,福井県,126,16.15275,16.15275,7,19,13,17,20,16,18,16,0,91,34,1,9,45,70,7,63,9,6,28,20,2,74,4,17,5,5,21,0,90,2,17,7,1,9,0,9,13,10,16,8,10,13,5,16,8,4,5,9,13,25,25,18,15,18,12,0,27,50,25,12,14,3,9,38,19,88,19,2020,0
25,,19,山梨県,131,15.84845,15.84845,6,8,11,25,25,20,23,13,0,83,48,0,11,42,78,5,73,9,3,25,36,0,76,1,1,16,10,27,0,85,2,3,17,7,17,0,5,14,6,7,11,16,9,18,7,5,2,3,28,24,19,13,17,23,16,16,3,14,50,15,5,2,3,7,57,17,76,38,2020,0
26,,20,長野県,334,16.00148,16.00148,12,33,49,43,57,42,43,55,0,241,90,3,21,113,196,14,182,9,8,102,63,4,200,1,31,29,9,64,0,220,13,33,32,5,31,0,26,10,15,21,19,26,17,22,24,14,16,11,113,47,51,48,41,38,54,39,16,53,138,37,26,12,4,31,108,39,170,125,2020,0
27,,21,岐阜県,320,15.74424,15.74424,10,39,36,54,58,36,45,42,0,226,94,0,17,98,203,18,185,15,10,87,73,2,192,6,25,28,5,64,0,211,6,29,30,3,40,1,29,15,23,26,21,25,27,28,13,23,11,18,61,34,47,56,48,31,46,42,16,35,132,41,40,6,5,19,118,63,173,84,2020,0
28,,22,静岡県,609,16.42149,16.42149,19,70,84,117,95,80,92,52,0,406,200,3,31,223,352,22,330,24,21,92,193,3,361,9,42,42,26,129,0,424,10,53,42,11,69,0,86,33,35,46,38,48,51,29,47,27,25,23,121,77,102,97,91,85,83,59,15,84,233,97,54,17,7,29,236,110,404,95,2020,0
29,,23,愛知県,1215,16.03848,16.03848,58,166,146,220,165,156,183,120,1,809,392,14,81,427,693,73,620,62,33,236,289,14,692,107,73,58,27,258,0,799,11,102,155,32,116,0,199,78,117,127,88,104,103,92,107,59,50,72,19,185,206,180,163,182,146,147,6,184,520,165,121,50,34,60,357,227,832,156,2020,0
30,,24,三重県,319,17.58681,17.58681,11,35,40,60,48,37,49,39,0,208,111,0,16,100,195,15,180,32,7,61,80,8,162,8,27,22,9,91,0,220,7,22,20,12,38,0,25,19,22,26,35,38,29,26,41,27,14,15,2,57,57,38,44,42,44,37,0,21,127,21,9,4,1,11,130,62,202,55,2020,0
31,,25,滋賀県,226,15.90487,15.90487,10,27,28,41,41,18,31,30,0,161,65,0,9,72,144,12,132,11,5,64,52,1,135,11,13,16,7,44,0,158,8,12,14,8,26,0,17,10,22,15,12,15,23,19,19,17,12,14,31,27,39,27,40,31,37,25,0,50,149,36,22,15,5,18,32,55,145,26,2020,0
32,,26,京都府,351,13.78688,13.78688,14,39,41,56,55,44,68,33,1,203,147,1,30,103,215,18,197,25,10,106,56,3,209,25,14,13,14,76,0,248,3,21,35,11,33,0,28,24,7,20,14,26,19,15,10,17,19,3,149,46,63,35,55,57,42,32,21,53,148,50,30,11,9,15,132,58,209,84,2020,0
33,,27,大阪府,1433,16.19276,16.19276,56,162,176,218,242,200,236,143,0,849,582,2,69,391,971,71,900,57,37,530,276,2,782,260,47,67,25,252,0,878,31,60,281,47,136,0,134,121,99,115,101,119,103,77,82,84,60,49,289,206,225,194,229,192,192,173,22,316,1080,297,129,68,31,103,42,317,942,174,2020,0
34,,28,兵庫県,881,15.87511,15.87511,34,97,108,148,125,115,140,114,0,612,266,3,44,279,551,47,504,38,29,281,156,7,511,104,35,48,20,163,0,575,17,41,140,24,84,0,114,51,77,104,76,64,86,57,72,65,69,44,2,124,152,120,119,136,125,105,0,164,664,163,102,28,24,45,34,186,615,80,2020,0
35,,29,奈良県,201,14.84669,14.84669,8,22,21,37,40,25,27,21,0,152,47,2,11,58,128,12,116,21,1,35,59,4,113,14,13,8,6,47,0,128,3,14,22,8,26,0,8,9,23,19,11,19,18,21,24,9,7,12,21,18,36,24,35,24,27,36,1,50,147,40,22,11,2,21,22,37,135,29,2020,0
36,,30,和歌山県,164,17.18613,17.18613,1,17,13,31,26,20,29,27,0,110,53,1,13,58,93,1,92,5,3,42,42,0,90,5,10,15,8,36,0,112,4,12,14,0,22,0,35,4,20,12,11,15,20,9,10,9,6,4,9,20,41,16,26,22,20,18,1,35,68,23,18,6,0,7,58,27,114,23,2020,0
37,,31,鳥取県,78,13.89941,13.89941,0,6,16,16,13,15,7,5,0,52,26,0,6,32,39,3,36,2,5,10,19,1,61,1,5,3,0,8,0,65,1,5,4,0,3,0,8,4,8,3,3,6,6,7,4,3,1,1,24,7,18,9,9,12,7,11,5,10,16,7,9,1,2,3,43,10,47,21,2020,0
38,,32,島根県,123,18.10624,18.10624,3,13,18,22,22,15,16,14,0,98,25,0,8,48,66,2,64,3,5,26,30,1,74,2,13,3,9,22,0,88,1,13,10,2,9,0,1,2,8,8,11,9,15,11,10,5,4,3,36,21,25,18,15,15,16,10,3,12,53,15,13,2,1,5,47,23,66,34,2020,0
39,,33,岡山県,261,13.71067,13.71067,13,32,30,54,30,43,33,26,0,195,66,0,11,76,169,15,154,19,14,55,66,5,157,8,16,18,15,47,0,182,8,22,21,2,26,0,10,21,12,29,13,15,20,26,21,12,12,10,60,39,48,29,36,37,36,29,7,35,107,36,16,7,5,13,107,61,150,50,2020,0
40,,34,広島県,425,15.03436,15.03436,14,52,48,67,65,55,72,52,0,292,129,4,10,149,261,16,245,32,8,129,76,5,247,30,24,35,19,70,0,290,6,20,50,5,54,0,26,17,21,20,13,19,33,30,26,25,14,12,169,58,64,76,62,46,61,45,13,70,254,58,47,20,13,29,104,88,249,88,2020,0
41,,35,山口県,223,16.27877,16.27877,10,22,20,38,39,29,32,33,0,156,67,0,11,60,152,11,141,11,3,73,54,0,145,13,13,6,8,38,0,172,0,13,18,1,19,0,11,13,14,12,8,15,16,18,13,19,7,9,68,25,37,32,26,33,34,28,8,48,140,30,25,6,6,20,49,45,139,39,2020,0
42,,36,徳島県,109,14.68004,14.68004,4,13,10,18,18,18,13,15,0,75,34,0,5,27,75,5,70,4,4,25,37,2,72,0,4,10,5,18,0,87,4,7,3,0,8,0,4,1,4,11,1,6,9,4,6,4,2,1,56,14,16,19,14,16,15,11,4,10,40,14,6,8,2,4,47,22,70,17,2020,0
43,,37,香川県,154,15.69379,15.69379,11,16,20,20,21,19,32,15,0,104,50,0,7,47,98,12,86,9,8,55,14,2,100,9,4,11,9,21,0,108,3,7,15,1,20,0,19,11,8,15,10,15,17,5,15,7,8,5,19,18,23,18,25,23,23,21,3,21,67,19,8,12,4,9,35,29,111,14,2020,0
44,,38,愛媛県,234,17.09113,17.09113,6,18,28,41,34,36,41,30,0,167,67,0,15,75,144,4,140,14,4,50,72,0,135,5,11,14,12,57,0,172,2,13,16,3,28,0,17,25,18,16,12,13,19,17,19,14,7,7,50,35,44,35,31,28,29,22,10,25,79,31,10,4,2,7,123,44,149,41,2020,0
