,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
6,,0,全国,6993,10.7416,10.7416,311,832,760,1094,1048,929,1111,900,8,5102,1866,25,170,1528,5240,387,4853,1163,92,1982,1616,55,4624,674,176,431,71,1017,0,4512,254,264,939,195,826,3,509,389,444,522,428,570,610,528,555,442,321,315,1360,1010,1058,949,1022,987,935,886,146,1285,4499,424,327,335,152,403,1645,2154,3653,1186,2020,0
7,,1,北海道,367,13.20556,13.20556,13,31,32,41,71,60,74,45,0,254,112,1,10,72,285,12,273,64,5,112,92,0,249,20,10,24,1,63,0,258,8,13,34,4,50,0,18,7,14,16,11,21,41,16,22,18,12,8,163,61,40,62,47,57,42,50,8,68,186,32,27,29,3,27,117,124,181,62,2020,0
8,,2,青森県,75,11.17105,11.17105,1,7,7,8,11,13,16,12,0,59,16,0,1,14,60,1,59,8,2,33,16,0,56,0,2,7,1,9,0,54,5,3,2,1,10,0,3,6,8,2,6,11,6,5,4,7,3,2,12,8,15,9,6,9,9,15,4,15,43,5,5,4,0,4,22,22,49,4,2020,0
9,,3,岩手県,92,14.35994,14.35994,3,5,3,15,13,14,15,24,0,70,22,0,3,20,68,3,65,9,0,44,12,1,58,5,5,11,1,12,0,59,4,7,6,1,15,0,3,8,10,6,9,6,13,7,4,5,5,3,13,11,12,15,14,9,14,16,1,24,63,12,7,4,4,12,14,18,70,4,2020,0
10,,4,宮城県,137,11.6648,11.6648,7,24,22,14,18,16,16,20,0,102,35,0,5,23,109,9,100,29,6,36,29,0,96,11,8,3,2,17,0,96,2,7,16,4,12,0,3,7,12,5,8,14,8,10,6,5,3,11,45,13,22,16,28,20,19,17,2,47,109,12,12,10,2,18,7,46,78,13,2020,0
11,,5,秋田県,56,10.76778,10.76778,2,5,6,7,3,6,14,13,0,43,13,0,1,10,44,4,40,3,1,22,14,1,39,0,2,9,1,5,0,40,1,2,1,0,12,0,2,0,1,0,1,3,3,1,0,1,0,1,43,10,8,7,7,9,6,4,5,12,27,2,1,1,1,1,17,7,29,20,2020,0
12,,6,山形県,58,10.36321,10.36321,6,5,9,7,3,8,5,15,0,47,11,0,3,5,50,7,43,3,1,23,16,0,42,0,1,5,1,9,0,39,3,2,3,0,11,0,2,2,2,5,4,9,3,6,5,8,3,5,4,9,10,9,7,8,7,8,0,6,38,1,1,3,8,1,14,24,32,2,2020,0
13,,7,福島県,91,9.493229,9.493229,6,11,4,12,13,13,14,18,0,73,18,0,6,19,65,4,61,19,3,24,15,1,55,3,8,9,1,15,0,51,8,10,6,1,15,0,11,6,5,9,7,5,6,10,7,5,5,3,12,14,11,9,15,13,15,14,0,19,48,5,7,5,2,7,28,29,48,14,2020,0
14,,8,茨城県,149,10.2289,10.2289,10,18,18,21,22,16,24,20,0,124,25,0,3,31,113,15,98,29,1,21,47,2,108,5,7,4,2,23,0,111,4,10,11,5,8,0,8,3,6,12,13,15,15,9,9,9,8,5,37,22,15,17,23,30,16,23,3,35,92,7,6,5,6,2,39,49,70,30,2020,0
15,,9,栃木県,98,9.976312,9.976312,7,13,10,16,15,11,13,13,0,74,24,0,1,15,82,8,74,27,0,14,33,0,74,5,2,6,2,9,0,63,6,1,10,2,16,0,19,6,7,10,2,6,13,10,7,8,4,5,1,16,15,14,10,12,19,12,0,22,63,7,3,1,4,8,7,43,50,5,2020,0
16,,10,群馬県,124,12.48854,12.48854,3,13,12,22,16,16,25,17,0,94,30,0,4,27,92,3,89,28,1,38,22,1,84,4,6,11,2,17,0,78,9,7,13,2,15,0,5,4,5,3,3,9,8,6,2,10,6,4,59,14,22,18,23,20,15,11,1,22,89,3,1,5,1,15,20,42,76,6,2020,0
17,,11,埼玉県,401,10.8581,10.8581,23,38,56,64,78,54,58,30,0,307,94,0,7,92,300,21,279,75,2,120,82,2,260,51,10,28,3,49,0,246,8,13,60,16,57,1,32,16,29,35,23,36,39,37,37,38,23,20,36,56,56,52,61,69,39,54,14,37,303,13,8,13,6,9,16,125,92,184,2020,0
18,,12,千葉県,381,12.03162,12.03162,18,43,41,62,62,54,55,46,0,284,97,0,8,77,295,22,273,65,4,150,54,1,254,46,5,14,4,58,0,248,21,11,58,14,29,0,25,25,30,30,28,41,35,32,33,29,18,19,36,46,61,58,59,60,50,44,3,75,282,31,19,13,12,25,63,119,229,33,2020,0
19,,13,東京都,806,11.46576,11.46576,44,149,102,128,124,100,89,70,0,499,299,8,23,214,550,62,488,128,7,108,245,19,517,132,5,20,2,130,0,473,30,24,163,34,82,0,79,48,47,45,54,49,72,44,66,52,37,53,160,125,112,122,125,106,101,96,19,88,386,30,34,43,13,33,321,222,350,234,2020,0
20,,14,神奈川県,472,10.22707,10.22707,17,67,56,85,74,61,71,41,0,345,127,0,14,102,351,31,320,112,6,88,114,5,355,37,7,5,1,67,0,340,27,14,48,21,22,0,32,22,19,37,19,24,35,29,21,25,21,17,171,71,77,57,60,51,69,56,31,89,221,30,21,19,9,24,176,162,268,42,2020,0
