,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
6,,0,全国,13914,22.4289,22.4289,466,1665,1828,2437,2344,1846,1893,1397,38,8617,5171,126,1090,5172,7411,651,6760,0,523,3088,3149,241,7881,795,971,711,547,3009,0,9560,208,1083,1345,347,1362,9,1276,727,953,1067,804,952,1018,842,900,686,557,602,3530,1797,2278,1976,2004,1895,1781,1581,602,1819,5644,2744,1579,455,252,808,4245,1990,8952,2972,2020,0
7,,1,北海道,558,22.42198,22.42198,28,68,74,97,96,54,68,73,0,335,222,1,49,225,282,25,257,0,14,125,118,2,297,23,60,17,24,137,0,391,5,63,35,5,59,0,26,19,16,26,22,34,31,19,25,16,16,11,297,66,104,67,88,69,73,59,32,80,161,108,95,24,15,33,221,92,345,121,2020,0
8,,2,青森県,181,29.94681,29.94681,2,21,13,25,36,32,31,21,0,130,51,0,30,53,97,3,94,0,10,57,27,1,113,1,13,9,9,36,0,139,1,17,10,1,12,1,13,4,14,7,9,20,16,12,16,12,5,8,45,19,23,20,25,31,28,22,13,43,78,51,13,12,1,20,36,17,141,23,2020,0
9,,3,岩手県,173,29.08316,29.08316,6,11,20,39,28,27,21,21,0,120,53,0,22,59,91,6,85,0,10,50,25,1,95,3,22,15,11,27,0,118,4,19,16,0,16,0,9,4,17,15,11,9,11,25,12,8,4,3,45,23,33,27,29,12,21,20,8,29,60,62,30,4,2,14,47,12,144,17,2020,0
10,,4,宮城県,277,24.77836,24.77836,3,37,33,57,54,35,33,25,0,181,94,2,35,111,129,12,117,0,24,60,33,2,145,12,38,15,17,50,0,192,9,32,25,1,18,0,10,4,16,14,18,15,21,19,14,11,10,14,111,29,46,45,35,41,29,38,14,60,159,88,86,13,6,37,13,58,189,30,2020,0
11,,5,秋田県,134,28.79578,28.79578,2,9,8,12,20,27,32,24,0,96,38,0,7,41,86,5,81,0,2,48,31,0,96,0,7,4,3,24,0,113,0,8,1,0,11,1,1,1,3,2,2,6,5,1,4,2,4,1,102,16,20,18,21,20,12,6,21,14,50,22,5,2,3,3,53,11,72,51,2020,0
12,,6,山形県,129,24.68314,24.68314,3,16,18,19,28,19,15,11,0,91,37,1,12,53,63,8,55,0,3,29,23,1,74,1,10,8,7,29,0,89,3,11,12,0,14,0,10,5,12,12,8,9,15,8,2,8,2,9,29,13,21,15,22,13,31,11,3,27,50,33,15,7,0,14,29,24,102,3,2020,0
13,,7,福島県,274,29.67285,29.67285,6,23,42,47,39,38,46,33,0,198,75,1,28,97,147,10,137,0,9,59,69,2,161,4,28,15,12,54,0,187,7,33,18,0,29,0,20,11,27,22,22,15,22,10,26,10,14,12,63,27,45,40,41,36,38,33,14,44,86,50,33,10,6,20,91,43,164,67,2020,0
14,,8,茨城県,318,21.70976,21.70976,10,30,40,53,65,43,46,30,1,215,101,2,28,122,159,9,150,0,14,46,90,9,200,8,34,4,11,61,0,239,6,30,15,2,26,0,19,10,20,24,11,25,28,17,15,9,12,19,109,36,59,51,45,33,41,38,15,50,117,70,44,11,2,16,112,41,207,70,2020,0
15,,9,栃木県,227,23.08813,23.08813,6,25,38,36,35,26,39,22,0,115,111,1,16,79,128,8,120,0,11,45,64,4,153,5,15,14,11,29,0,161,5,16,18,6,21,0,63,16,22,11,18,14,15,16,17,4,15,12,4,38,36,35,33,36,24,24,1,32,92,62,26,5,2,11,16,36,177,14,2020,0
