,pref,sex,tot_pop
2,-,女,64856337.0
5,01,女,2757719.0
8,02,女,663031.0
11,03,女,632769.0
14,04,女,1168997.0
17,05,女,512667.0
20,06,女,552766.0
23,07,女,948279.0
26,08,女,1449159.0
29,09,女,976825.0
32,10,女,986726.0
35,11,女,3697156.0
38,12,女,3169845.0
41,13,女,7038206.0
44,14,女,4622874.0
47,15,女,1137685.0
50,16,女,538490.0
53,17,女,583294.0
56,18,女,397856.0
59,19,女,418101.0
62,20,女,1059197.0
65,21,女,1033561.0
68,22,女,1863146.0
71,23,女,3772020.0
74,24,女,918081.0
77,25,女,717814.0
80,26,女,1318068.0
83,27,女,4577539.0
86,28,女,2876981.0
89,29,女,706762.0
92,30,女,497257.0
95,31,女,290278.0
98,32,女,349224.0
101,33,女,978339.0
104,34,女,1446307.0
107,35,女,711111.0
110,36,女,383344.0
113,37,女,502446.0
116,38,女,711797.0
119,39,女,369909.0
122,40,女,2685320.0
125,41,女,429015.0
128,42,女,705979.0
131,43,女,924063.0
134,44,女,598037.0
137,45,女,572379.0
140,46,女,853609.0
143,47,女,752309.0
