,pref,sex,tot_pop
0,-,計,126654244.0
3,01,計,5228732.0
6,02,計,1260067.0
9,03,計,1221205.0
12,04,計,2282106.0
15,05,計,971604.0
18,06,計,1070017.0
21,07,計,1862777.0
24,08,計,2907678.0
27,09,計,1955402.0
30,10,計,1958185.0
33,11,計,7393849.0
36,12,計,6322897.0
39,13,計,13843525.0
42,14,計,9220245.0
45,15,計,2213353.0
48,16,計,1047713.0
51,17,計,1132656.0
54,18,計,774596.0
57,19,計,821094.0
60,20,計,2072219.0
63,21,計,2016868.0
66,22,計,3686335.0
69,23,計,7558872.0
72,24,計,1800756.0
75,25,計,1418886.0
78,26,計,2530609.0
81,27,計,8839532.0
84,28,計,5523627.0
87,29,計,1344952.0
90,30,計,944750.0
93,31,計,556959.0
96,32,計,672979.0
99,33,計,1893874.0
102,34,計,2812477.0
105,35,計,1356144.0
108,36,計,735070.0
111,37,計,973922.0
114,38,計,1356343.0
117,39,計,701531.0
120,40,計,5124259.0
123,41,計,818251.0
126,42,計,1336023.0
129,43,計,1758815.0
132,44,計,1141784.0
135,45,計,1087372.0
138,46,計,1617850.0
141,47,計,1485484.0
