RegionA,lon_d_r,dep_d_r,well_d_r,RMme_d_r,RMch_d_r,lon_d_m_r,dep_d_m_r,well_d_m_r,RMme_d_m_r,RMch_d_m_r,lon_d_f_r,dep_d_f_r,well_d_f_r,RMme_d_f_r,RMch_d_f_r
中国,0.44665461121157324,0.2549728752260398,0.484629294755877,0.40867992766726946,0.4267631103074141,0.5036496350364964,0.2773722627737226,0.5072992700729927,0.40145985401459855,0.3978102189781022,0.3862815884476534,0.23104693140794225,0.4584837545126354,0.4151624548736462,0.4548736462093863
九州,0.46621621621621623,0.22466216216216217,0.4358108108108108,0.43243243243243246,0.4172297297297297,0.5344827586206896,0.2689655172413793,0.46551724137931033,0.41724137931034483,0.3758620689655172,0.40066225165562913,0.18211920529801323,0.40728476821192056,0.4470198675496689,0.45695364238410596
北海道,0.43243243243243246,0.22072072072072071,0.42792792792792794,0.4369369369369369,0.42342342342342343,0.4636363636363636,0.24545454545454545,0.43636363636363634,0.38181818181818183,0.44545454545454544,0.40540540540540543,0.1981981981981982,0.42342342342342343,0.4954954954954955,0.3963963963963964
北関東,0.45222929936305734,0.20382165605095542,0.4713375796178344,0.43312101910828027,0.40764331210191085,0.5357142857142857,0.17857142857142858,0.42857142857142855,0.4642857142857143,0.32142857142857145,0.3561643835616438,0.2328767123287671,0.5205479452054794,0.3972602739726027,0.5068493150684932
北陸,0.4636363636363636,0.2545454545454545,0.4636363636363636,0.38181818181818183,0.39090909090909093,0.4827586206896552,0.25862068965517243,0.5,0.39655172413793105,0.3793103448275862,0.4423076923076923,0.25,0.4230769230769231,0.36538461538461536,0.40384615384615385
南関東,0.4720430107526882,0.23548387096774193,0.42473118279569894,0.4311827956989247,0.4666666666666667,0.5246252676659529,0.2398286937901499,0.43254817987152033,0.4025695931477516,0.42184154175588867,0.41774891774891776,0.22943722943722944,0.41774891774891776,0.4588744588744589,0.512987012987013
四国,0.46954813359528486,0.25736738703339884,0.4263261296660118,0.3850687622789784,0.3889980353634578,0.5296442687747036,0.30434782608695654,0.40711462450592883,0.40711462450592883,0.35177865612648224,0.40784313725490196,0.21176470588235294,0.4470588235294118,0.36470588235294116,0.4235294117647059
東北,0.4859375,0.253125,0.4890625,0.3546875,0.4015625,0.4984126984126984,0.2698412698412698,0.473015873015873,0.33015873015873015,0.326984126984127,0.47058823529411764,0.23839009287925697,0.5046439628482973,0.37770897832817335,0.47368421052631576
東海,0.4495049504950495,0.25544554455445545,0.4594059405940594,0.39603960396039606,0.4316831683168317,0.516260162601626,0.27235772357723576,0.4715447154471545,0.3902439024390244,0.3943089430894309,0.3875968992248062,0.24031007751937986,0.44573643410852715,0.3992248062015504,0.46511627906976744
沖縄,0.3829787234042553,0.1276595744680851,0.3404255319148936,0.3617021276595745,0.574468085106383,0.4230769230769231,0.15384615384615385,0.4230769230769231,0.3076923076923077,0.6538461538461539,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.42857142857142855,0.47619047619047616
近畿,0.43706777316735823,0.26141078838174275,0.4633471645919779,0.43568464730290457,0.44398340248962653,0.48179271708683474,0.29971988795518206,0.4733893557422969,0.40896358543417366,0.38935574229691877,0.39118457300275483,0.22589531680440772,0.4490358126721763,0.4628099173553719,0.4986225895316804
