,RegionA,chRM,mtRM,allRM,loneliness,dep0,dep_dummy,well,N,chRMF,mtRMF,allRMF,lonelinessF,dep0F,dep_dummyF,wellF,NF,chRMM,mtRMM,allRMM,lonelinessM,dep0M,dep_dummyM,wellM,NM,suicide_rate_reg_tot,suicide_rate_reg_male,suicide_rate_reg_female
0,中国,24.965641021728516,16.828208923339844,41.79384994506836,13.182640075683594,6.471971035003662,0.2549728751182556,18.524412155151367,553,25.541515350341797,16.942237854003906,42.4837532043457,12.476533889770508,6.5090250968933105,0.23104692995548248,18.790613174438477,277,24.416057586669922,16.73357582092285,41.149635314941406,13.82846736907959,6.383211612701416,0.277372270822525,18.31386947631836,274,15.221257432190328,21.60825708367001,9.270887109996956
1,九州,25.214527130126953,17.023649215698242,42.23817443847656,13.378377914428711,6.077702522277832,0.2246621549129486,18.908782958984375,592,25.582780838012695,17.01324462890625,42.59602737426758,12.665562629699707,5.824503421783447,0.1821192055940628,19.268211364746094,302,24.83103370666504,17.034482955932617,41.865516662597656,14.120689392089844,6.341379165649414,0.2689655125141144,18.534482955932617,290,17.074973258263473,25.11465099791496,9.810292000977483
2,北海道,25.382883071899414,17.10360336303711,42.486488342285156,13.42792797088623,5.914414405822754,0.22072072327136993,18.98198127746582,222,25.711711883544922,17.62162208557129,43.33333206176758,12.86486530303955,5.954955101013184,0.19819819927215576,19.06306266784668,111,24.990909576416016,16.581817626953125,41.57272720336914,14.03636360168457,5.872727394104004,0.2454545497894287,18.85454559326172,110,17.690713542021278,22.581831823628608,13.308099918809711
3,北関東,24.656051635742188,16.885351181030273,41.54140090942383,13.28662395477295,5.426751613616943,0.20382165908813477,18.611465454101562,157,25.136985778808594,16.47945213317871,41.61643981933594,12.547945022583008,5.82191801071167,0.232876718044281,18.383562088012695,73,24.238094329833984,17.238094329833984,41.47618865966797,13.928571701049805,5.083333492279053,0.1785714328289032,18.809524536132812,84,16.675968837761147,22.696323195642307,10.736178754717782
4,北陸,24.745454788208008,16.85454559326172,41.599998474121094,13.190909385681152,5.981818199157715,0.2545454502105713,19.07272720336914,110,25.096153259277344,16.730770111083984,41.82692337036133,12.826923370361328,6.692307472229004,0.25,18.961538314819336,52,24.431034088134766,16.965517044067383,41.39655303955078,13.517241477966309,5.344827651977539,0.2586206793785095,19.172412872314453,58,17.462135761337276,25.360110079598694,10.002368982127344
5,南関東,25.619354248046875,17.293548583984375,42.91290283203125,13.45053768157959,5.884946346282959,0.23548386991024017,19.1182804107666,930,26.21861457824707,17.400432586669922,43.619049072265625,12.792207717895508,6.017315864562988,0.2294372320175171,19.39610481262207,462,25.029977798461914,17.186294555664062,42.21627426147461,14.098501205444336,5.745182037353516,0.2398286908864975,18.828693389892578,467,15.676778433451014,20.30414024211016,11.118258820219967
6,四国,24.962671279907227,16.911590576171875,41.874263763427734,13.288801193237305,6.557956695556641,0.2573673725128174,19.021610260009766,509,25.27450942993164,16.780391693115234,42.054901123046875,12.84313678741455,6.415686130523682,0.21176470816135406,19.207843780517578,255,24.640316009521484,17.05138397216797,41.69169998168945,13.73122501373291,6.7272725105285645,0.30434781312942505,18.830039978027344,253,16.40621142350166,23.95282793422142,9.504466591037543
7,東北,24.926563262939453,16.568750381469727,41.49531173706055,13.6171875,6.395312309265137,0.25312501192092896,18.421875,640,25.473684310913086,16.622291564941406,42.09597396850586,13.346749305725098,6.3281731605529785,0.23839008808135986,18.3931884765625,323,24.365079879760742,16.511110305786133,40.876190185546875,13.876190185546875,6.504761695861816,0.2698412835597992,18.4793643951416,315,19.38217991901392,27.540700882347075,11.73392514574817
8,東海,25.28316879272461,16.98613929748535,42.26930618286133,13.308911323547363,6.091089248657227,0.25544553995132446,18.914852142333984,505,25.55038833618164,16.879844665527344,42.430233001708984,12.647286415100098,5.899224758148193,0.24031007289886475,19.294572830200195,258,25.0,17.085365295410156,42.085365295410156,14.008130073547363,6.288618087768555,0.2723577320575714,18.532520294189453,246,16.35150789383483,22.057182007064448,10.72914986118009
9,沖縄,26.87234115600586,17.382978439331055,44.25531768798828,11.78723430633545,4.468085289001465,0.12765957415103912,20.510639190673828,47,26.761905670166016,17.761905670166016,44.52381134033203,11.142857551574707,3.904761791229248,0.095238097012043,20.238094329833984,21,26.961538314819336,17.076923370361328,44.03845977783203,12.307692527770996,4.92307710647583,0.1538461595773697,20.730770111083984,26,14.002170336402145,21.140928154942543,7.044977529180164
10,近畿,25.621023178100586,17.327800750732422,42.94882583618164,13.337482452392578,6.298755168914795,0.26141080260276794,18.79944610595703,723,26.137741088867188,17.534435272216797,43.672176361083984,12.691459655761719,6.118457317352295,0.22589531540870667,19.05234146118164,363,25.109243392944336,17.106443405151367,42.2156867980957,13.983193397521973,6.495798110961914,0.299719899892807,18.596637725830078,357,15.804017754085988,21.28596927614079,10.725218317101971
