,pref,depression,loneliness,choosingRM,meetingRM,wellbeing,Unnamed: 0_x,suicide_rate_2020,Unnamed: 0_y,suicide_rate_male_2020,Unnamed: 0,suicide_rate_female_2020,kenname,region
0,7,0.97029702970297,13.8217821782178,-25.1386138613861,-16.3465346534653,-2.48514851485149,13,19.39446,13,29.67285,13,9.493229,福島県,北海道・東北
1,38,0.941176470588235,13.2398190045249,-25.1085972850679,-16.8552036199095,-2.84615384615385,44,17.09113,44,24.61107,44,10.29183,愛媛県,四国
2,37,0.755555555555556,12.7481481481481,-24.7333333333333,-16.9037037037037,-2.79259259259259,43,15.69379,43,23.36242,43,8.495371,香川県,四国
3,23,0.92280701754386,13.5543859649123,-25.1649122807018,-16.9298245614035,-2.76140350877193,29,16.03848,29,21.53579,29,10.51043,愛知県,中部
4,13,0.794805194805195,13.425974025974,-25.8519480519481,-17.5064935064935,-2.84415584415584,19,15.91624,19,20.51342,19,11.46576,東京都,関東
5,1,0.837837837837838,13.4279279279279,-25.3828828828829,-17.1036036036036,-2.77477477477478,7,17.55964,7,22.42198,7,13.20556,北海道,北海道・東北
6,27,0.90251572327044,13.4496855345912,-26.0125786163522,-17.5691823899371,-2.76729559748428,33,16.19276,33,21.15086,33,11.57128,大阪府,近畿
7,15,1.1969696969697,13.9393939393939,-24.6818181818182,-16.5606060606061,-2.53030303030303,21,19.31985,21,25.96119,21,13.04569,新潟県,中部
8,35,1.05813953488372,14.046511627907,-24.9883720930233,-16.546511627907,-2.54651162790698,41,16.27877,41,23.02909,41,10.1596,山口県,中国
9,33,0.856164383561644,13.0,-25.027397260274,-16.9520547945206,-2.64383561643836,39,13.71067,39,20.00074,39,7.8279,岡山県,中国
10,43,0.865853658536585,13.5975609756098,-24.9024390243902,-17.4878048780488,-2.71951219512195,49,16.15929,49,25.01423,49,8.168899,熊本県,九州・沖縄
11,42,1.11111111111111,13.6349206349206,-25.5873015873016,-16.952380952381,-2.66666666666667,48,15.69476,48,23.40181,48,8.822714,長崎県,九州・沖縄
12,12,0.83969465648855,13.1603053435115,-25.0534351145038,-16.7251908396947,-2.78625954198473,18,16.53541,18,21.05853,18,12.03162,千葉県,関東
13,28,0.896373056994819,13.1502590673575,-25.9015544041451,-17.3678756476684,-2.81347150259067,34,15.87511,34,22.14072,34,10.10622,兵庫県,近畿
14,26,0.715909090909091,14.1136363636364,-24.7840909090909,-16.9772727272727,-2.61363636363636,32,13.78688,32,18.76808,32,9.202394,京都府,近畿
15,30,0.928571428571429,12.75,-24.6428571428571,-16.6071428571429,-2.32142857142857,36,17.18613,36,25.89441,36,9.354668,和歌山県,近畿
16,40,0.867857142857143,13.3892857142857,-25.3178571428571,-16.9571428571429,-2.775,46,17.2325,46,24.25124,46,10.86015,福岡県,九州・沖縄
17,11,0.894736842105263,13.766081871345,-25.7485380116959,-17.0818713450292,-2.94152046783626,17,16.2651,17,21.66646,17,10.8581,埼玉県,関東
18,2,0.826086956521739,13.3695652173913,-24.5108695652174,-16.1847826086957,-2.60869565217391,8,20.06611,8,29.94681,8,11.17105,青森県,北海道・東北
19,32,0.955555555555556,13.3777777777778,-24.8222222222222,-17.0666666666667,-2.46666666666667,38,18.10624,38,28.79981,38,8.216857,島根県,中国
20,20,0.770833333333333,13.125,-24.2083333333333,-17.0833333333333,-2.85416666666667,26,16.00148,26,21.76272,26,10.49461,長野県,中部
21,25,0.72093023255814,12.5116279069767,-24.8372093023256,-16.8604651162791,-2.53488372093023,31,15.90487,31,20.65298,31,11.26768,滋賀県,近畿
22,14,0.917695473251029,13.4238683127572,-25.4650205761317,-17.4115226337449,-2.74074074074074,20,14.30054,20,18.3926,20,10.22707,神奈川県,関東
23,39,1.11940298507463,13.6119402985075,-25.4179104477612,-16.9701492537313,-2.82089552238806,45,17.06076,45,26.56177,45,8.552445,高知県,四国
24,34,0.987068965517241,13.1681034482759,-25.0215517241379,-16.6206896551724,-2.6551724137931,40,15.03436,40,19.667,40,10.66025,広島県,中国
25,46,0.591836734693878,13.1020408163265,-25.3877551020408,-17.5918367346939,-3.08163265306122,52,18.09654,52,28.33204,52,8.946217,鹿児島県,九州・沖縄
