,pref,suicide_rate_female_2020
6,0,10.7416
7,1,13.20556
8,2,11.17105
9,3,14.35994
10,4,11.6648
11,5,10.76778
12,6,10.36321
13,7,9.493229
14,8,10.2289
15,9,9.976312
16,10,12.48854
17,11,10.8581
18,12,12.03162
19,13,11.46576
20,14,10.22707
21,15,13.04569
22,16,12.15036
23,17,8.177298
24,18,9.47839
25,19,9.973902
26,20,10.49461
27,21,10.55699
28,22,10.34887
29,23,10.51043
30,24,12.21426
31,25,11.26768
32,26,9.202394
33,27,11.57128
34,28,10.10622
35,29,10.54849
36,30,9.354668
37,31,5.468777
38,32,8.216857
39,33,7.8279
40,34,10.66025
41,35,10.1596
42,36,9.803415
43,37,8.495371
44,38,10.29183
45,39,8.552445
46,40,10.86015
47,41,6.24666
48,42,8.822714
49,43,8.168899
50,44,9.112311
51,45,12.824
52,46,8.946217
53,47,7.06274
54,99,0
